bairro_origem,bairro_destino,logradouro,observacao,peso
Jiquiá,Mangueira,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Jiquiá,San Martin,Avenida General San Martin,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Linha do Tiro,Água Fria,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Macaxeira,Nova Descoberta,Avenida Josélia,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.15,2.15
Madalena,Paissandu,Ponte Prefeito Lima de Castro,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Madalena,Prado,Avenida Engenheiro Abdias de Carvalho,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Madalena,Torre,Avenida Beira Rio Governador Eduardo Campos,tipo=AVENIDA;pav=nan;ilum=nan;coleta=nan;peso_calc=1.00,1.0
Madalena,Zumbi,Avenida Caxangá,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=0.80,0.8
Mangabeira,Tamarineira,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Mangueira,Mustardinha,Avenida Manoel Goncalves da Luz,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.25,1.25
Mangueira,San Martin,Rua Bom Jardim,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=3.50,3.5
Monteiro,Poço,Avenida Dezessete de Agosto,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Morro da Conceição,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
